Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Costa Rica,CRI,2024,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.5485966064603
Costa Rica,CRI,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.4681434828024
Costa Rica,CRI,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.757533336084
Costa Rica,CRI,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.0877843771226
Costa Rica,CRI,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.1682444968076
Costa Rica,CRI,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.0229783790012
Costa Rica,CRI,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.3689608055398
Costa Rica,CRI,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.5482191625185
Costa Rica,CRI,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.3313791630901
Costa Rica,CRI,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.0967003726594
Costa Rica,CRI,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.5958654556432
Costa Rica,CRI,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.3214839827991
Costa Rica,CRI,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.8541242474414
Costa Rica,CRI,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.080467143761
Costa Rica,CRI,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.3511772205997
Costa Rica,CRI,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.309505798027
Costa Rica,CRI,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.0082525755278
Costa Rica,CRI,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.5245956433901
Costa Rica,CRI,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.1346422477393
Costa Rica,CRI,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.4960438696713
Costa Rica,CRI,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.6568657061988
Costa Rica,CRI,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.6923936892422
Costa Rica,CRI,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.8161140278044
Costa Rica,CRI,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.9068666085941
Costa Rica,CRI,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.3194941133464
Costa Rica,CRI,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,33.2435050625589
Costa Rica,CRI,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.4785874551243
Costa Rica,CRI,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.085532203512
Costa Rica,CRI,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.1280575007492
Costa Rica,CRI,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.6104452253544
Costa Rica,CRI,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.5912188888976
Costa Rica,CRI,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.401314200103
Costa Rica,CRI,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.0879295945516
Costa Rica,CRI,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.9934402598496
Costa Rica,CRI,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.2864729876509
Costa Rica,CRI,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.9277303904316
Costa Rica,CRI,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.5063595304893
Costa Rica,CRI,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.0645864422244
Costa Rica,CRI,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.7271376794402
Costa Rica,CRI,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.1967605060231
Costa Rica,CRI,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.5827954973563
Costa Rica,CRI,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.7981631348501
Costa Rica,CRI,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.510536327919
Costa Rica,CRI,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.7800725070787
Costa Rica,CRI,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,9.94319092983897
Costa Rica,CRI,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.4472303620032
Costa Rica,CRI,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.5188202007495
Costa Rica,CRI,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.7048922114659
Costa Rica,CRI,2024,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,39.5207067537823
Costa Rica,CRI,2023,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.9361054509475
Costa Rica,CRI,2022,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,39.9335936439617
Costa Rica,CRI,2021,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,39.6276973839345
Costa Rica,CRI,2020,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,54.308758041904
Costa Rica,CRI,2019,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,35.238285519517
Costa Rica,CRI,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,39.3844073324351
Costa Rica,CRI,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.3037609468424
Costa Rica,CRI,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.6892236641446
Costa Rica,CRI,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.4543585025102
Costa Rica,CRI,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.9223581821704
Costa Rica,CRI,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.5179239049054
Costa Rica,CRI,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.0394547826208
Costa Rica,CRI,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.8402503368488
Costa Rica,CRI,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.0180241891282
Costa Rica,CRI,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.3172736708398
Costa Rica,CRI,2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,19.314663852855
Costa Rica,CRI,2007,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,16.1128557224543
Costa Rica,CRI,2006,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.7314798716858
Costa Rica,CRI,2005,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.0919013495856
Costa Rica,CRI,2004,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,21.3961198186897
Costa Rica,CRI,2003,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.390552697592
Costa Rica,CRI,2002,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.5231545033357
Costa Rica,CRI,2001,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.9408003639996
Costa Rica,CRI,2000,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,19.8010899313123
Costa Rica,CRI,1999,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.8910398968454
Costa Rica,CRI,1998,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.0003310043746
Costa Rica,CRI,1997,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.4470366206232
Costa Rica,CRI,1996,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.8973320836031
Costa Rica,CRI,1995,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,19.6075858282975
Costa Rica,CRI,1994,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.451459132659
Costa Rica,CRI,1993,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.9735423811857
Costa Rica,CRI,1992,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.0368702504925
Costa Rica,CRI,1991,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.0942408376963
Costa Rica,CRI,1990,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.3229034018556
Costa Rica,CRI,1989,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.6653225806452
Costa Rica,CRI,1988,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.3700731649752
Costa Rica,CRI,1987,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.0690360521606
Costa Rica,CRI,1986,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.4967061923584
Costa Rica,CRI,1985,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.7547035853745
Costa Rica,CRI,1984,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.1967087638729
Costa Rica,CRI,1983,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.6519337016575
Costa Rica,CRI,1982,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.0116521015397
Costa Rica,CRI,1981,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.1013824884793
Costa Rica,CRI,1980,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,13.9063591893781
Costa Rica,CRI,1979,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.1304347826087
Costa Rica,CRI,1978,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,12.1993878443376
Costa Rica,CRI,1977,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,12.0100502512563
Costa Rica,CRI,2024,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,30459218674.1337
Costa Rica,CRI,2023,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,28412547024.0343
Costa Rica,CRI,2022,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,27095220405.9637
Costa Rica,CRI,2021,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,21938261539.6765
Costa Rica,CRI,2020,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,17515725758.0287
Costa Rica,CRI,2019,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,20262089588.1843
Costa Rica,CRI,2018,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,20562073642.1219
Costa Rica,CRI,2017,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,19015041203.1128
Costa Rica,CRI,2016,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,17953610898.4011
Costa Rica,CRI,2015,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,17144438034.0104
Costa Rica,CRI,2014,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,17351112763.7913
Costa Rica,CRI,2013,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,16810707197.0907
Costa Rica,CRI,2012,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,16494855727.7196
Costa Rica,CRI,2011,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,15278156522.2624
Costa Rica,CRI,2010,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,12929757862.1038
Costa Rica,CRI,2009,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,10680683281.3373
Costa Rica,CRI,2008,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,14525586447.4848
Costa Rica,CRI,2007,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,12265409038.6659
Costa Rica,CRI,2006,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,10510123034.3699
Costa Rica,CRI,2005,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,9126697028.74447
Costa Rica,CRI,2004,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7978328991.03533
Costa Rica,CRI,2003,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7346699678.61794
Costa Rica,CRI,2002,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6803386305.71728
Costa Rica,CRI,2001,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6428363996.54782
Costa Rica,CRI,2000,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6528857404.34852
Costa Rica,CRI,1999,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,5167999116.00001
Costa Rica,CRI,1998,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,5418120000
Costa Rica,CRI,1997,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4670920000
Costa Rica,CRI,1996,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4294270000
Costa Rica,CRI,1995,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,3960542000
Costa Rica,CRI,1994,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,3587900000
Costa Rica,CRI,1993,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,3444000000
Costa Rica,CRI,1992,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2921500000
Costa Rica,CRI,1991,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2232400000
Costa Rica,CRI,1990,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2346400000
Costa Rica,CRI,1989,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2068000000
Costa Rica,CRI,1988,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1702300000
Costa Rica,CRI,1987,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1636300000
Costa Rica,CRI,1986,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1348800000
Costa Rica,CRI,1985,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1282700000
Costa Rica,CRI,1984,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1254200000
Costa Rica,CRI,1983,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1147700000
Costa Rica,CRI,1982,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1045200000
Costa Rica,CRI,1981,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1307600000
Costa Rica,CRI,1980,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1661400000
Costa Rica,CRI,1979,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1524000000
Costa Rica,CRI,1978,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1278100000
Costa Rica,CRI,1977,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1124100000
Costa Rica,CRI,2024,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.1068079757691
Costa Rica,CRI,2023,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.9173041570728
Costa Rica,CRI,2022,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.438594778304
Costa Rica,CRI,2021,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,12.0442360764426
Costa Rica,CRI,2020,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,14.9939884163823
Costa Rica,CRI,2019,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.161713129685
Costa Rica,CRI,2018,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,10.0790954357356
Costa Rica,CRI,2017,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,10.3331573142092
Costa Rica,CRI,2016,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.4311687222783
Costa Rica,CRI,2015,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,12.4800657482001
Costa Rica,CRI,2014,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,14.0603059828757
Costa Rica,CRI,2013,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,12.6215771737366
Costa Rica,CRI,2012,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,9.87390848753927
Costa Rica,CRI,2011,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,10.3127479220168
Costa Rica,CRI,2010,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,10.6070016789499
Costa Rica,CRI,2009,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,13.2872006068131
Costa Rica,CRI,2008,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,13.5796803381833
Costa Rica,CRI,2007,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,13.1209749575372
Costa Rica,CRI,2006,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,14.6184113150526
Costa Rica,CRI,2005,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,12.5795332647248
Costa Rica,CRI,2004,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,10.4213949424435
Costa Rica,CRI,2003,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,9.76924417160167
Costa Rica,CRI,2002,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.2560565848089
Costa Rica,CRI,2001,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,13.8227923007859
Costa Rica,CRI,2000,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,16.730815361493
Costa Rica,CRI,1999,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.74826766412557
Costa Rica,CRI,1998,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.22058310446319
Costa Rica,CRI,1997,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.11781239961452
Costa Rica,CRI,1996,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.98109944052025
Costa Rica,CRI,1995,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.52735110592033
Costa Rica,CRI,1994,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.27833972793861
Costa Rica,CRI,1993,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.30818226359628
Costa Rica,CRI,1992,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.03715170278638
Costa Rica,CRI,1991,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.29992520568437
Costa Rica,CRI,1990,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.91231580862289
Costa Rica,CRI,1989,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.49193548387097
Costa Rica,CRI,1988,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.41090394146802
Costa Rica,CRI,1987,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.00588084888775
Costa Rica,CRI,1986,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.46508563899868
Costa Rica,CRI,1985,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.91622293219737
Costa Rica,CRI,1984,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.30463069269039
Costa Rica,CRI,1983,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.9060773480663
Costa Rica,CRI,1982,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.07573866000832
Costa Rica,CRI,1981,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.0184331797235
Costa Rica,CRI,1980,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.74353598881901
Costa Rica,CRI,1979,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.38380809595202
Costa Rica,CRI,1978,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.60822037603848
Costa Rica,CRI,1977,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.8391959798995
Costa Rica,CRI,2024,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,23165812492.3375
Costa Rica,CRI,2023,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,22044726871.3541
Costa Rica,CRI,2022,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,21312987643.4141
Costa Rica,CRI,2021,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,17670962046.174
Costa Rica,CRI,2020,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14085001056.9669
Costa Rica,CRI,2019,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,15699976059.5355
Costa Rica,CRI,2018,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,16350138994.7998
Costa Rica,CRI,2017,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,15177744069.5976
Costa Rica,CRI,2016,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14526327121.8846
Costa Rica,CRI,2015,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14059490160.2332
Costa Rica,CRI,2014,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14784329140.6054
Costa Rica,CRI,2013,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14425143236.738
Costa Rica,CRI,2012,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14270608615.9818
Costa Rica,CRI,2011,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,13328708868.2805
Costa Rica,CRI,2010,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,11040420104.4547
Costa Rica,CRI,2009,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9204799909.51524
Costa Rica,CRI,2008,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,12658936707.6312
Costa Rica,CRI,2007,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,10329450733.2466
Costa Rica,CRI,2006,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,8843306159.11728
Costa Rica,CRI,2005,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7615032589.95665
Costa Rica,CRI,2004,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6542506145.62372
Costa Rica,CRI,2003,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6055850846.97138
Costa Rica,CRI,2002,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5618948178.82288
Costa Rica,CRI,2001,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5240709290.86055
Costa Rica,CRI,2000,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5180937180.6705
Costa Rica,CRI,1999,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4021752000.00001
Costa Rica,CRI,1998,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4300310000
Costa Rica,CRI,1997,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3674760000
Costa Rica,CRI,1996,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3259380000
Costa Rica,CRI,1995,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3046100000
Costa Rica,CRI,1994,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2727800000
Costa Rica,CRI,1993,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2627600000
Costa Rica,CRI,1992,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2210900000
Costa Rica,CRI,1991,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1697600000
Costa Rica,CRI,1990,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1796700000
Costa Rica,CRI,1989,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1572000000
Costa Rica,CRI,1988,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1278600000
Costa Rica,CRI,1987,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1245200000
Costa Rica,CRI,1986,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1045200000
Costa Rica,CRI,1985,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1001000000
Costa Rica,CRI,1984,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,992900000
Costa Rica,CRI,1983,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,894300000
Costa Rica,CRI,1982,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,804900000
Costa Rica,CRI,1981,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1090600000
Costa Rica,CRI,1980,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1375200000
Costa Rica,CRI,1979,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1257200000
Costa Rica,CRI,1978,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1049400000
Costa Rica,CRI,1977,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,925100000
Costa Rica,CRI,2024,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,7293406181.79615
Costa Rica,CRI,2023,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,6367820152.68018
Costa Rica,CRI,2022,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,5782232762.54965
Costa Rica,CRI,2021,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,4267299493.50255
Costa Rica,CRI,2020,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,3430724701.06183
Costa Rica,CRI,2019,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,4562113528.64881
Costa Rica,CRI,2018,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,4211934647.32213
Costa Rica,CRI,2017,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,3837297133.51519
Costa Rica,CRI,2016,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,3427283776.51657
Costa Rica,CRI,2015,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,3084947873.77722
Costa Rica,CRI,2014,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,2566783623.18591
